open,low,high,close,change,changepercent,date miladi,date shamsi
"862,400","839,600","862,500","844,400",14300,1.69%,05/05/2025,1404/02/15
"851,650","851,600","866,000","858,700",1800,0.21%,04/05/2025,1404/02/14
"850,200","850,100","869,000","856,900",37450,4.57%,03/05/2025,1404/02/13
"814,000","813,650","820,000","819,450",5550,0.68%,01/05/2025,1404/02/11
"808,850","808,600","816,000","813,900",4250,0.52%,30/04/2025,1404/02/10
"808,750","800,600","814,000","809,650",3000,0.37%,29/04/2025,1404/02/09
"832,650","811,600","833,000","812,650",14350,1.77%,28/04/2025,1404/02/08
"829,250","825,600","845,500","827,000",3400,0.41%,27/04/2025,1404/02/07
"795,650","795,100","828,000","823,600",14850,1.84%,26/04/2025,1404/02/06
"813,150","803,650","813,500","808,750",400,0.05%,23/04/2025,1404/02/03
"818,900","794,400","819,300","808,350",11400,1.41%,22/04/2025,1404/02/02
"831,050","817,400","842,200","819,750",8150,0.99%,21/04/2025,1404/02/01
"829,100","809,800","834,200","827,900",4000,0.48%,20/04/2025,1404/01/31
"849,650","831,800","864,200","831,900",24050,2.89%,19/04/2025,1404/01/30
"880,200","851,800","880,200","855,950",21050,2.46%,17/04/2025,1404/01/28
"880,200","869,050","889,200","877,000",2800,0.32%,16/04/2025,1404/01/27
"894,900","879,800","990,150","879,800",1000,0.11%,15/04/2025,1404/01/26
"850,150","849,800","898,200","880,800",20900,2.43%,14/04/2025,1404/01/25
"897,950","829,800","904,200","859,900",102250,11.89%,13/04/2025,1404/01/24
"994,200","954,800","994,200","962,150",46750,4.86%,12/04/2025,1404/01/23
"999,100","998,800","1,021,200","1,008,900",9200,0.92%,10/04/2025,1404/01/21
"998,800","998,300","1,006,700","999,700",1750,0.18%,09/04/2025,1404/01/20
"1,058,100","984,800","1,058,200","997,950",57600,5.77%,08/04/2025,1404/01/19
"1,045,350","1,045,300","1,057,700","1,055,550",10350,0.99%,07/04/2025,1404/01/18
"1,028,200","1,027,800","1,045,200","1,045,200",19550,1.91%,06/04/2025,1404/01/17
"1,032,900","1,025,300","1,032,900","1,025,650",2150,0.21%,05/04/2025,1404/01/16
"1,038,850","1,027,800","1,039,200","1,027,800",11150,1.08%,30/03/2025,1404/01/10
"1,036,950","1,036,800","1,042,200","1,038,950",17050,1.67%,29/03/2025,1404/01/09
"1,018,850","1,018,800","1,024,200","1,021,900",2700,0.26%,27/03/2025,1404/01/07
"1,018,900","1,006,800","1,022,200","1,019,200",1350,0.13%,26/03/2025,1404/01/06
"976,550","976,300","1,037,200","1,017,850",40050,4.10%,25/03/2025,1404/01/05
"973,900","967,800","982,200","977,800",34600,3.67%,18/03/2025,1403/12/28
"933,550","933,300","944,700","943,200",11900,1.28%,17/03/2025,1403/12/27
"912,900","912,800","931,700","931,300",19950,2.19%,16/03/2025,1403/12/26
"918,650","906,300","918,700","911,350",11700,1.28%,15/03/2025,1403/12/25
"926,650","922,400","929,700","923,050",3750,0.41%,13/03/2025,1403/12/23
"926,350","923,300","927,700","926,800",3950,0.43%,12/03/2025,1403/12/22
"924,000","922,300","929,200","922,850",1000,0.11%,11/03/2025,1403/12/21
"934,650","919,800","935,200","923,850",1750,0.19%,10/03/2025,1403/12/20
"912,450","912,300","923,700","922,100",9900,1.09%,09/03/2025,1403/12/19
"896,900","896,900","923,200","912,200",20500,2.30%,08/03/2025,1403/12/18
"883,850","882,300","896,700","891,700",6800,0.77%,06/03/2025,1403/12/16
"904,300","884,800","904,700","884,900",19900,2.25%,05/03/2025,1403/12/15
"907,400","904,800","911,700","904,800",2550,0.28%,04/03/2025,1403/12/14
"920,400","906,800","921,700","907,350",14950,1.65%,03/03/2025,1403/12/13
"921,150","914,800","927,700","922,300",700,0.08%,02/03/2025,1403/12/12
"922,300","916,800","925,200","921,600",3600,0.39%,01/03/2025,1403/12/11
"924,150","923,800","929,200","925,200",750,0.08%,27/02/2025,1403/12/09
"920,550","920,300","934,200","925,950",7650,0.83%,26/02/2025,1403/12/08
"913,200","906,800","919,700","918,300",5150,0.56%,25/02/2025,1403/12/07
"926,150","912,300","928,700","913,150",14250,1.56%,24/02/2025,1403/12/06
"930,850","922,300","933,700","927,400",8400,0.91%,23/02/2025,1403/12/05
"930,000","929,600","943,700","935,800",5100,0.55%,22/02/2025,1403/12/04
"921,350","921,300","932,700","930,700",9000,0.98%,20/02/2025,1403/12/02
"918,700","918,300","928,700","921,700",1750,0.19%,19/02/2025,1403/12/01
"908,600","908,300","920,200","919,950",11750,1.29%,18/02/2025,1403/11/30
"906,900","906,850","912,200","908,200",1150,0.13%,17/02/2025,1403/11/29
"907,350","896,800","912,200","907,050",900,0.10%,16/02/2025,1403/11/28
"903,550","902,300","909,700","906,150",15550,1.75%,15/02/2025,1403/11/27
"884,200","883,800","890,700","890,600",7100,0.80%,13/02/2025,1403/11/25
